QD,LT,MQ,VALOR_MQ,VALOR_BASE,ENTRADA,SITUACAO
17,17,"362,00","95,00","34.390,00","1.900,00",L
17,18,"400,00","74,98","29.990,00","1.900,00",L
17,19,"400,00","74,98","29.990,00","1.900,00",L
17,20,"400,00","74,98","29.990,00","1.900,00",L
17,21,"400,00","74,98","29.990,00","1.900,00",L
17,22,"400,00","74,98","29.990,00","1.900,00",L
17,23,"400,00","74,98","29.990,00","1.900,00",L
17,24,"400,00","74,98","29.990,00","1.900,00",L
17,25,"400,00","74,98","29.990,00","1.900,00",L
17,26,"400,00","74,98","29.990,00","1.900,00",L
18,1,"350,00","71,40","24.990,00","1.900,00",L
18,2,"350,00","71,40","24.990,00","1.900,00",L
18,3,"350,00","71,40","24.990,00","1.900,00",L
18,4,"350,00","71,40","24.990,00","1.900,00",L
18,5,"350,00","71,40","24.990,00","1.900,00",L
18,6,"350,00","71,40","24.990,00","1.900,00",L
18,7,"350,00","71,40","24.990,00","1.900,00",L
18,8,"350,00","71,40","24.990,00","1.900,00",L
18,9,"400,00","74,98","29.990,00","1.900,00",L
18,10,"400,00","74,98","29.990,00","1.900,00",L
18,11,"400,00","74,98","29.990,00","1.900,00",L
18,12,"400,00","74,98","29.990,00","1.900,00",L
18,13,"400,00","74,98","29.990,00","1.900,00",L
18,14,"400,00","74,98","29.990,00","1.900,00",L
18,15,"400,00","74,98","29.990,00","1.900,00",L
18,16,"350,00","71,40","24.990,00","1.900,00",L
18,17,"350,00","71,40","24.990,00","1.900,00",L
18,18,"350,00","71,40","24.990,00","1.900,00",L
18,19,"350,00","71,40","24.990,00","1.900,00",L
18,20,"350,00","71,40","24.990,00","1.900,00",L
18,21,"350,00","71,40","24.990,00","1.900,00",L
18,22,"350,00","71,40","24.990,00","1.900,00",L
18,23,"350,00","71,40","24.990,00","1.900,00",L
19,1,"350,00","71,40","24.990,00","1.900,00",L
19,2,"350,00","71,40","24.990,00","1.900,00",L
19,3,"350,00","71,40","24.990,00","1.900,00",L
19,4,"350,00","71,40","24.990,00","1.900,00",L
19,5,"350,00","71,40","24.990,00","1.900,00",L
19,6,"350,00","71,40","24.990,00","1.900,00",L
19,7,"350,00","71,40","24.990,00","1.900,00",L
19,8,"350,00","71,40","24.990,00","1.900,00",L
19,9,"350,00","71,40","24.990,00","1.900,00",L
19,10,"361,00","95,00","34.295,00","1.900,00",L
19,11,"361,00","95,00","34.295,00","1.900,00",L
19,12,"360,00","95,00","34.200,00","1.900,00",L
19,13,"360,00","95,00","34.200,00","1.900,00",L
19,14,"359,00","95,00","34.105,00","1.900,00",L
19,15,"359,00","95,00","34.105,00","1.900,00",L
19,16,"358,00","95,00","34.010,00","1.900,00",L
19,17,"350,00","71,40","24.990,00","1.900,00",L
19,18,"350,00","71,40","24.990,00","1.900,00",L
19,19,"350,00","71,40","24.990,00","1.900,00",L
19,20,"350,00","71,40","24.990,00","1.900,00",L
19,21,"350,00","71,40","24.990,00","1.900,00",L
19,22,"350,00","71,40","24.990,00","1.900,00",L
19,23,"350,00","71,40","24.990,00","1.900,00",L
19,24,"350,00","71,40","24.990,00","1.900,00",L
19,25,"350,00","71,40","24.990,00","1.900,00",L
20,1,"400,00","74,98","29.990,00","1.900,00",L
20,2,"400,00","74,98","29.990,00","1.900,00",L
20,3,"400,00","74,98","29.990,00","1.900,00",L
20,5,"400,00","74,98","29.990,00","1.900,00",L
20,6,"400,00","74,98","29.990,00","1.900,00",L
20,7,"400,00","74,98","29.990,00","1.900,00",L
20,8,"400,00","74,98","29.990,00","1.900,00",L
20,9,"400,00","74,98","29.990,00","1.900,00",L
20,10,"400,00","74,98","29.990,00","1.900,00",L
20,11,"400,00","74,98","29.990,00","1.900,00",L
20,12,"400,00","74,98","29.990,00","1.900,00",L
20,13,"400,00","74,98","29.990,00","1.900,00",L
20,14,"400,00","74,98","29.990,00","1.900,00",L
20,15,"400,00","74,98","29.990,00","1.900,00",L
20,16,"400,00","74,98","29.990,00","1.900,00",L
20,17,"400,00","74,98","29.990,00","1.900,00",L
20,18,"400,00","74,98","29.990,00","1.900,00",L
20,19,"400,00","74,98","29.990,00","1.900,00",L
20,20,"400,00","74,98","29.990,00","1.900,00",L
20,21,"400,00","74,98","29.990,00","1.900,00",L
20,22,"400,00","74,98","29.990,00","1.900,00",L
20,23,"400,00","74,98","29.990,00","1.900,00",L
20,24,"400,00","74,98","29.990,00","1.900,00",L
21,1,"400,00","74,98","29.990,00","1.900,00",L
21,2,"400,00","74,98","29.990,00","1.900,00",L
21,3,"400,00","74,98","29.990,00","1.900,00",L
21,4,"400,00","74,98","29.990,00","1.900,00",L
21,5,"400,00","74,98","29.990,00","1.900,00",L
21,6,"400,00","74,98","29.990,00","1.900,00",L
21,7,"400,00","74,98","29.990,00","1.900,00",L
21,8,"400,00","74,98","29.990,00","1.900,00",L
21,9,"400,00","74,98","29.990,00","1.900,00",L
21,10,"358,00","90,00","32.220,00","1.900,00",L
21,11,"357,00","90,00","32.130,00","1.900,00",L
21,12,"357,00","90,00","32.130,00","1.900,00",L
21,13,"356,00","90,00","32.040,00","1.900,00",L
21,14,"356,00","90,00","32.040,00","1.900,00",L
21,15,"355,00","90,00","31.950,00","1.900,00",L
21,16,"355,00","90,00","31.950,00","1.900,00",L
21,17,"354,00","90,00","31.860,00","1.900,00",L
21,18,"400,00","74,98","29.990,00","1.900,00",L
21,19,"400,00","74,98","29.990,00","1.900,00",L
21,20,"400,00","74,98","29.990,00","1.900,00",L
21,21,"400,00","74,98","29.990,00","1.900,00",L
21,22,"400,00","74,98","29.990,00","1.900,00",L
21,23,"400,00","74,98","29.990,00","1.900,00",L
21,24,"400,00","74,98","29.990,00","1.900,00",L
21,25,"400,00","74,98","29.990,00","1.900,00",L
21,26,"400,00","74,98","29.990,00","1.900,00",L
1,10,"478,56","115,00","55.034,40","1.900,00",R
1,9,"400,00","115,00","46.000,00","1.900,00",R
2,11,"783,00","115,00","90.045,00","3.000,00",R
3,7,"911,00","115,00","104.765,00","3.000,00",R
3,8,"919,00","115,00","105.685,00","3.000,00",R
3,11,"1.059,00","115,00","121.785,00","3.000,00",R
3,12,"1.108,00","115,00","127.420,00","3.000,00",R
3,13,"1.141,00","115,00","131.215,00","3.000,00",R
3,14,"1.145,00","115,00","131.675,00","3.000,00",R
3,26,"600,00","70,00","42.000,00","1.900,00",R
3,38,"645,00","115,00","74.175,00","3.000,00",R
4,20,"400,00","74,98","29.990,00","1.900,00",R
5,7,"400,00","74,98","29.990,00","1.900,00",R
5,20,"400,00","74,98","29.990,00","1.900,00",R
5,26,"400,00","74,98","29.990,00","1.900,00",R
10,23,"350,00","56,86","19.900,00","1.900,00",R
13,1,"400,00","74,98","29.990,00","1.900,00",R
20,4,"400,00","74,98","29.990,00","1.900,00",R
1,2,"400,00","115,00","46.000,00","1.900,00",V
1,5,"400,00","115,00","46.000,00","1.900,00",V
1,6,"400,00","115,00","46.000,00","1.900,00",V
2,9,"794,00","115,00","91.310,00","3.000,00",V
2,10,"672,00","115,00","77.280,00","3.000,00",V
